 ,Area,Mean,Min,Max,X,Y
1,728,255,255,255,154.338,15.402
2,64,255,255,255,797.375,2.344
3,93,255,255,255,980.263,7.027
4,120,255,255,255,781.867,13.317
5,70,255,255,255,99.386,13.600
6,122,255,255,255,989.213,18.262
7,78,255,255,255,966.808,17.115
8,89,255,255,255,209.972,22.792
9,97,255,255,255,181.005,24.964
10,76,255,255,255,195.816,36.474
11,105,255,255,255,72.919,48.414
12,99,255,255,255,314.611,51.894
13,103,255,255,255,283.422,60.131
14,87,255,255,255,649.443,63.914
15,91,255,255,255,637.621,63.203
16,27,255,255,255,61.944,68.019
17,122,255,255,255,43.410,73.107
18,51,255,255,255,55.343,81.480
19,41,255,255,255,153.768,85.939
20,86,255,255,255,299.814,95.663
21,91,255,255,255,292.269,102.016
22,71,255,255,255,71.148,103.486
23,35,255,255,255,152.814,101.614
24,43,255,255,255,165.453,103.523
25,27,255,255,255,54.685,102.870
26,37,255,255,255,158.014,115.662
27,98,255,255,255,608.418,120.888
28,75,255,255,255,611.073,131.060
29,22,255,255,255,62.591,131.636
30,408,255,255,255,946.473,154.203
31,83,255,255,255,1015.849,152.283
32,22,255,255,255,280.818,155.591
33,77,255,255,255,359.058,157.370
34,140,255,255,255,379.321,165.864
35,38,255,255,255,268.500,163.026
36,62,255,255,255,364.629,170.113
37,81,255,255,255,1023.389,170.710
38,113,255,255,255,390.102,175.969
39,166,255,255,255,358.205,185.120
40,94,255,255,255,441.096,192.032
41,113,255,255,255,371.509,213.978
42,65,255,255,255,340.423,219.946
43,80,255,255,255,433.900,223.325
44,63,255,255,255,330.929,226.151
45,72,255,255,255,352.569,244.292
46,71,255,255,255,335.556,245.937
47,51,255,255,255,523.637,256.186
48,136,255,255,255,195.779,265.625
49,52,255,255,255,525.269,269.327
50,60,255,255,255,162.017,273.650
51,83,255,255,255,945.343,314.705
52,152,255,255,255,186.507,320.243
53,82,255,255,255,1071.524,324.671
54,88,255,255,255,948.784,330.364
55,81,255,255,255,1077.994,332.488
56,65,255,255,255,137.638,341.977
57,137,255,255,255,177.989,350.026
58,84,255,255,255,9.262,371.071
59,54,255,255,255,1091.778,370.796
60,86,255,255,255,252.093,371.093
61,87,255,255,255,328.006,374.351
62,70,255,255,255,18.243,376.771
63,74,255,255,255,232.270,385.311
64,103,255,255,255,149.461,386.150
65,85,255,255,255,325.924,400.794
66,71,255,255,255,233.063,404.570
67,72,255,255,255,244.431,409.722
68,20,255,255,255,986.550,408.950
69,61,255,255,255,222.172,444.680
70,61,255,255,255,235.025,446.107
71,54,255,255,255,466.963,449.648
72,291,255,255,255,280.627,465.383
73,138,255,255,255,223.188,456.370
74,123,255,255,255,239.354,456.768
75,42,255,255,255,1097.024,453.119
76,37,255,255,255,1083.473,460.581
77,90,255,255,255,468.856,464.511
78,55,255,255,255,442.118,467.173
79,41,255,255,255,1098.159,465.280
80,38,255,255,255,705.053,467.842
81,69,255,255,255,780.819,472.196
82,51,255,255,255,1089.696,474.069
83,73,255,255,255,488.390,475.815
84,42,255,255,255,701.048,474.952
85,107,255,255,255,461.734,480.145
86,134,255,255,255,671.963,485.567
87,31,255,255,255,769.984,487.468
88,95,255,255,255,472.037,491.226
89,104,255,255,255,653.048,494.135
90,99,255,255,255,464.399,504.136
91,76,255,255,255,484.789,512.934
92,105,255,255,255,425.519,522.824
93,91,255,255,255,424.412,534.203
94,56,255,255,255,83.250,593.518
95,52,255,255,255,74.942,599.808
96,134,255,255,255,179.000,611.403
97,94,255,255,255,406.830,613.181
98,83,255,255,255,421.018,627.054
99,37,255,255,255,965.446,662.716
100,55,255,255,255,980.827,665.555
101,116,255,255,255,963.362,672.017
102,79,255,255,255,686.272,684.589
103,73,255,255,255,114.651,693.842
104,63,255,255,255,892.341,695.056
105,90,255,255,255,126.633,703.389
106,55,255,255,255,904.591,705.264
107,59,255,255,255,663.669,711.246
108,51,255,255,255,672.676,713.637
109,43,255,255,255,673.640,724.988
110,59,255,255,255,1022.992,739.398
111,43,255,255,255,673.058,741.570
112,54,255,255,255,829.519,746.907
113,63,255,255,255,1009.373,758.881
114,72,255,255,255,506.819,758.972
115,32,255,255,255,654.531,767.438
116,51,255,255,255,854.010,768.755
117,57,255,255,255,339.026,769.395
118,90,255,255,255,517.878,771.644
119,37,255,255,255,642.095,769.635
120,67,255,255,255,335.067,780.709
121,97,255,255,255,357.407,784.665
122,66,255,255,255,825.485,785.136
123,107,255,255,255,346.855,788.640
124,47,255,255,255,762.798,789.074
125,71,255,255,255,845.345,792.880
126,46,255,255,255,773.717,797.565
127,76,255,255,255,820.487,798.461
128,40,255,255,255,65.175,811.625
129,84,255,255,255,890.488,818.750
130,32,255,255,255,58.188,821.219
131,64,255,255,255,823.188,823.625
132,22,255,255,255,1.955,829.409
